1,University of Alabama School of Medicine,Alabama,"Birmingham, Tuscaloosa, Huntsville & Selma",1859,https://en.wikipedia.org/wiki/University_of_Alabama_School_of_Medicine,https://www.uab.edu/medicine/home/
2,University of South Alabama College of Medicine,Alabama,Mobile,1972,https://en.wikipedia.org/wiki/University_of_South_Alabama,http://www.southalabama.edu
3,Mayo Medical School,Arizona,Scottsdale,2017,https://en.wikipedia.org/wiki/Mayo_Medical_School,http://www.mayo.edu
4,University of Arizona College of Medicine - Tucson,Arizona,Tucson,1967,https://en.wikipedia.org/wiki/University_of_Arizona_College_of_Medicine,http://www.medicine.arizona.edu
5,University of Arizona College of Medicine - Tucson,Arizona,Tucson,1967,https://en.wikipedia.org/wiki/University_of_Arizona_College_of_Medicine,http://www.medicine.arizona.edu
6,University of Arkansas for Medical Sciences/UAMS College of Medicine,Arkansas,Little Rock & Fayetteville,1879,https://en.wikipedia.org/wiki/University_of_Arkansas_for_Medical_Sciences,http://www.uams.edu
7,California Northstate University College of Medicine,California,Elk Grove,2015,https://en.wikipedia.org/wiki/California_Northstate_University_College_of_Medicine,http://medicine.cnsu.edu/
8,Charles R. Drew University of Medicine and Science,California,Willowbrook,1966,https://en.wikipedia.org/wiki/Charles_R._Drew_University_of_Medicine_and_Science,http://www.cdrewu.edu
9,Keck School of Medicine of University of Southern California,California,Los Angeles,1885,https://en.wikipedia.org/wiki/Keck_School_of_Medicine_of_USC,http://keck.usc.edu/
10,Loma Linda University School of Medicine,California,Loma Linda,1909,https://en.wikipedia.org/wiki/Loma_Linda_University,http://www.llu.edu/
11,Stanford University School of Medicine,California,Palo Alto & San Francisco,1908,https://en.wikipedia.org/wiki/Stanford_University_School_of_Medicine,http://med.stanford.edu/
12,"University of California, Davis School of Medicine",California,Sacramento,1966,https://en.wikipedia.org/wiki/UC_Davis_School_of_Medicine,http://www.ucdmc.ucdavis.edu/medschool/
13,"University of California, Irvine School of Medicine",California,Irvine,1896 as a private school,"https://en.wikipedia.org/wiki/University_of_California,_Irvine_School_of_Medicine",http://www.som.uci.edu/
14,David Geffen School of Medicine at UCLA,California,Los Angeles,1951,https://en.wikipedia.org/wiki/David_Geffen_School_of_Medicine_at_UCLA,http://dgsom.healthsciences.ucla.edu/
15,"University of California, Riverside School of Medicine",California,Riverside,2008,https://en.wikipedia.org/wiki/UC_Riverside_School_of_Medicine,http://medschool.ucr.edu/
16,"University of California, San Diego School of Medicine",California,San Diego,1968,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego_School_of_Medicine",http://som.ucsd.edu/
17,UCSF School of Medicine,California,San Francisco,1864,https://en.wikipedia.org/wiki/UCSF_School_of_Medicine,http://medschool.ucsf.edu
18,University of Colorado School of Medicine,Colorado,Aurora,1883,https://en.wikipedia.org/wiki/University_of_Colorado_School_of_Medicine,http://www.ucdenver.edu/academics/colleges/medicalschool/education/degree_programs/PAProgram/Pages/Home.aspx
19,Frank H. Netter M.D. School of Medicine at Quinnipiac University,Connecticut,North Haven,2010,https://en.wikipedia.org/wiki/Frank_H._Netter_M.D._School_of_Medicine_at_Quinnipiac_University,http://www.quinnipiac.edu/academics/colleges-schools-and-departments/school-of-medicine
20,University of Connecticut School of Medicine,Connecticut,Farmington,1961,https://en.wikipedia.org/wiki/University_of_Connecticut_School_of_Medicine,http://medicine.uchc.edu
21,Yale School of Medicine,Connecticut,New Haven,1810,https://en.wikipedia.org/wiki/Yale_School_of_Medicine,http://medicine.yale.edu
22,George Washington University Medical School,District of Columbia,"Washington, D.C.",1824,https://en.wikipedia.org/wiki/George_Washington_University_Medical_School,http://smhs.gwu.edu
23,Georgetown University School of Medicine,District of Columbia,"Washington, D.C.",1851,https://en.wikipedia.org/wiki/Georgetown_University_School_of_Medicine,http://som.georgetown.edu
24,Howard University College of Medicine,District of Columbia,"Washington, D.C.",1867,https://en.wikipedia.org/wiki/Howard_University_College_of_Medicine,https://medicine.howard.edu/
25,Florida Atlantic University Charles E. Schmidt College of Medicine,Florida,Boca Raton,2010,https://en.wikipedia.org/wiki/Charles_E._Schmidt_College_of_Medicine,med.fau.edu
26,Florida International University Herbert Wertheim College of Medicine,Florida,Miami,2006,https://en.wikipedia.org/wiki/FIU_Herbert_Wertheim_College_of_Medicine,http://medicine.fiu.edu
27,Florida State University College of Medicine,Florida,Tallahassee,2000,https://en.wikipedia.org/wiki/Florida_State_University_College_of_Medicine,http://www.med.fsu.edu
28,University of Central Florida College of Medicine,Florida,Orlando,2006,https://en.wikipedia.org/wiki/University_of_Central_Florida_College_of_Medicine,https://med.ucf.edu/
29,University of Florida College of Medicine,Florida,Gainesville & Jacksonville,1956,https://en.wikipedia.org/wiki/University_of_Florida_College_of_Medicine,http://www.med.ufl.edu/
30,University of Miami Leonard M. Miller School of Medicine,Florida,Miami,1952,https://en.wikipedia.org/wiki/Leonard_M._Miller_School_of_Medicine,http://www.med.miami.edu/
31,University of South Florida College of Medicine,Florida,Tampa,1971,https://en.wikipedia.org/wiki/University_of_South_Florida_College_of_Medicine,http://health.usf.edu/medicine/
32,Emory University School of Medicine,Georgia,Atlanta,1915,https://en.wikipedia.org/wiki/Emory_University_School_of_Medicine,http://med.emory.edu/
33,Medical College of Georgia at Augusta University,Georgia,Augusta & Athens,1828,https://en.wikipedia.org/wiki/Medical_College_of_Georgia,http://www.augusta.edu/mcg
34,Mercer University School of Medicine,Georgia,Macon,1982,https://en.wikipedia.org/wiki/Mercer_University_School_of_Medicine,http://medicine.mercer.edu
35,Morehouse School of Medicine,Georgia,Atlanta,1975,https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine,http://www.msm.edu/
36,Morehouse School of Medicine,Georgia,Atlanta,1975,https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine,http://www.msm.edu/
37,Loyola University Chicago Stritch School of Medicine,Illinois,Maywood,1915,https://en.wikipedia.org/wiki/Stritch_School_of_Medicine,http://stritch.luc.edu
38,Northwestern University Feinberg School of Medicine,Illinois,Chicago,1859,https://en.wikipedia.org/wiki/Feinberg_School_of_Medicine,http://www.feinberg.northwestern.edu/
39,Chicago Medical School of Rosalind Franklin University of Medicine and Science,Illinois,North Chicago,1912,https://en.wikipedia.org/wiki/Chicago_Medical_School,http://www.rosalindfranklin.edu/cms
40,Rush Medical College,Illinois,Chicago,1837,https://en.wikipedia.org/wiki/Rush_Medical_College,http://www.rushu.rush.edu/medcol/
41,Southern Illinois University School of Medicine,Illinois,Springfield,1970,https://en.wikipedia.org/wiki/Southern_Illinois_University_School_of_Medicine,http://www.siumed.edu/
42,University of Chicago Pritzker School of Medicine,Illinois,Chicago,1927,https://en.wikipedia.org/wiki/Pritzker_School_of_Medicine,https://pritzker.uchicago.edu/
43,University of Illinois College of Medicine,Illinois,"Chicago, Urbana, Peoria, & Rockford",1882,https://en.wikipedia.org/wiki/University_of_Illinois_College_of_Medicine,http://www.medicine.uic.edu
44,Indiana University School of Medicine,Indiana,"Indianapolis
Bloomington,
Fort Wayne,
Terre Haute,
South Bend,
Lafayette,
Gary,
Evansville,
Muncie",1903,https://en.wikipedia.org/wiki/Indiana_University_School_of_Medicine,http://medicine.iu.edu
45,University of Iowa Roy J. and Lucille A. Carver College of Medicine,Iowa,Iowa City,1869,https://en.wikipedia.org/wiki/University_of_Iowa,http://uiowa.edu
46,University of Kansas School of Medicine,Kansas,"Kansas City, Wichita, Salina",1880,https://en.wikipedia.org/wiki/University_of_Kansas_School_of_Medicine,http://medicine.kumc.edu
47,University of Kentucky College of Medicine,Kentucky,Lexington,1960,https://en.wikipedia.org/wiki/University_of_Kentucky_College_of_Medicine,http://med.uky.edu/
48,University of Louisville School of Medicine,Kentucky,Louisville,1837,https://en.wikipedia.org/wiki/University_of_Louisville_School_of_Medicine,http://www.louisville.edu/medicine
49,Louisiana State University School of Medicine in New Orleans,Louisiana,New Orleans,1931,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_New_Orleans,http://www.lsuhsc.edu/
50,Louisiana State University School of Medicine in Shreveport,Louisiana,Shreveport,1969,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_Shreveport,http://www.lsuhscshreveport.edu/Education/som/index
51,Tulane University School of Medicine,Louisiana,New Orleans,1834,https://en.wikipedia.org/wiki/Tulane_University_School_of_Medicine,http://www.som.tulane.edu/
52,Johns Hopkins University School of Medicine,Maryland,Baltimore,1887,https://en.wikipedia.org/wiki/Johns_Hopkins_School_of_Medicine,http://www.hopkinsmedicine.org/som/
53,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Maryland,Bethesda,1972,https://en.wikipedia.org/wiki/Uniformed_Services_University_of_the_Health_Sciences,http://www.usuhs.edu
54,University of Maryland School of Medicine,Maryland,Baltimore,1807,https://en.wikipedia.org/wiki/University_of_Maryland_School_of_Medicine,http://www.medschool.umaryland.edu/
55,Boston University School of Medicine,Massachusetts,Boston,1848,https://en.wikipedia.org/wiki/Boston_University_School_of_Medicine,http://www.bumc.bu.edu/busm/
56,Harvard Medical School,Massachusetts,Boston,1782,https://en.wikipedia.org/wiki/Harvard_Medical_School,https://hms.harvard.edu/
57,Tufts University School of Medicine,Massachusetts,Boston,1893,https://en.wikipedia.org/wiki/Tufts_University_School_of_Medicine,http://www.tufts.edu/med
58,University of Massachusetts Medical School,Massachusetts,Worcester,1962,https://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School,http://www.umassmed.edu
59,Central Michigan University College of Medicine,Michigan,Mount Pleasant,2013,https://en.wikipedia.org/wiki/Central_Michigan_University,http://www.cmich.edu
60,Michigan State University College of Human Medicine,Michigan,"East Lansing, Grand Rapids",1964,https://en.wikipedia.org/wiki/Michigan_State_University_College_of_Human_Medicine,http://www.chm.msu.edu/
61,University of Michigan Medical School,Michigan,Ann Arbor,1850,https://en.wikipedia.org/wiki/University_of_Michigan_Health_System,http://labblog.uofmhealth.org/
62,Oakland University William Beaumont School of Medicine,Michigan,Rochester,2008,https://en.wikipedia.org/wiki/Oakland_University_William_Beaumont_School_of_Medicine,http://www.oakland.edu/medicine
63,Wayne State University School of Medicine,Michigan,Detroit,1868,https://en.wikipedia.org/wiki/Wayne_State_University_School_of_Medicine,http://www.med.wayne.edu
64,Western Michigan University Homer Stryker M.D. School of Medicine,Michigan,Kalamazoo,2012,https://en.wikipedia.org/wiki/Western_Michigan_University_Homer_Stryker_M.D._School_of_Medicine,http://med.wmich.edu
65,Mayo Clinic College of Medicine,Minnesota,Rochester,1972,https://en.wikipedia.org/wiki/Mayo_Medical_School,http://www.mayo.edu
66,University of Minnesota Medical School,Minnesota,"Minneapolis, Duluth",1888,https://en.wikipedia.org/wiki/University_of_Minnesota_Medical_School,http://www.med.umn.edu
67,University of Mississippi School of Medicine,Mississippi,Jackson,1903,https://en.wikipedia.org/wiki/University_of_Mississippi_School_of_Medicine,http://som.umc.edu/
68,Saint Louis University School of Medicine,Missouri,St. Louis,1901,https://en.wikipedia.org/wiki/Saint_Louis_University_School_of_Medicine,http://medschool.slu.edu/
69,University of Missouri-Columbia School of Medicine,Missouri,Columbia,1845,https://en.wikipedia.org/wiki/University_of_Missouri_School_of_Medicine,https://medicine.missouri.edu/
70,University of Missouri–Kansas City School of Medicine,Missouri,Kansas City,1971,https://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City_School_of_Medicine,http://med.umkc.edu/
71,Washington University School of Medicine,Missouri,St. Louis,1891,https://en.wikipedia.org/wiki/Washington_University_School_of_Medicine,http://medicine.wustl.edu
72,Creighton University School of Medicine,Nebraska,Omaha,1892,https://en.wikipedia.org/wiki/Creighton_University_School_of_Medicine,http://medschool.creighton.edu/
73,University of Nebraska College of Medicine,Nebraska,Omaha,1881,https://en.wikipedia.org/wiki/University_of_Nebraska_Medical_Center,http://www.unmc.edu
74,"University of Nevada, Las Vegas School of Medicine",Nevada,Las Vegas,2014,https://en.wikipedia.org/wiki/UNLV_School_of_Medicine,http://www.unlv.edu/medicine
75,"University of Nevada, Reno School of Medicine",Nevada,Reno,1969,"https://en.wikipedia.org/wiki/University_of_Nevada,_Reno_School_of_Medicine",http://med.unr.edu
76,Dartmouth College Geisel School of Medicine,New Hampshire,Hanover,1797,https://en.wikipedia.org/wiki/Dartmouth_College,http://dartmouth.edu
77,Cooper Medical School of Rowan University,New Jersey,Camden,2009,https://en.wikipedia.org/wiki/Cooper_Medical_School_of_Rowan_University,http://www.rowan.edu/coopermed
78,Rutgers New Jersey Medical School,New Jersey,Newark,1954,https://en.wikipedia.org/wiki/New_Jersey_Medical_School,http://njms.rutgers.edu
79,Rutgers Robert Wood Johnson Medical School,New Jersey,Piscataway & New Brunswick,1961,https://en.wikipedia.org/wiki/Robert_Wood_Johnson_Medical_School,http://rwjms.rutgers.edu
80,University of New Mexico School of Medicine,New Mexico,Albuquerque,1961,https://en.wikipedia.org/wiki/University_of_New_Mexico_School_of_Medicine,http://som.unm.edu/
81,Albany Medical College,New York,Albany,1838,https://en.wikipedia.org/wiki/Albany_Medical_College,http://www.amc.edu/
82,Albert Einstein College of Medicine,New York,The Bronx,1955,https://en.wikipedia.org/wiki/Albert_Einstein_College_of_Medicine,http://www.einstein.yu.edu/
83,Columbia University Roy and Diana Vagelos College of Physicians and Surgeons,New York,Manhattan,1767,https://en.wikipedia.org/wiki/Columbia_University_College_of_Physicians_and_Surgeons,http://ps.columbia.edu
84,CUNY School of Medicine,New York,"Harlem, New York",2016,https://en.wikipedia.org/wiki/CUNY_School_of_Medicine,https://www.ccny.cuny.edu/csom
85,Hofstra Northwell School of Medicine at Hofstra University,New York,Hempstead,2008,https://en.wikipedia.org/wiki/Hofstra_Northwell_School_of_Medicine,https://medicine.hofstra.edu/
86,Icahn School of Medicine at Mount Sinai,New York,Manhattan,1963,https://en.wikipedia.org/wiki/Icahn_School_of_Medicine_at_Mount_Sinai,http://icahn.mssm.edu
87,New York Medical College,New York,Valhalla,1858,https://en.wikipedia.org/wiki/New_York_Medical_College,http://www.nymc.edu
88,New York University School of Medicine,New York,Manhattan,1841,https://en.wikipedia.org/wiki/New_York_University_School_of_Medicine,http://www.med.nyu.edu
89,Stony Brook University School of Medicine,New York,Stony Brook,1971,https://en.wikipedia.org/wiki/Stony_Brook_University_School_of_Medicine,https://medicine.stonybrookmedicine.edu
90,State University of New York Upstate Medical University,New York,Syracuse,1834,https://en.wikipedia.org/wiki/State_University_of_New_York_Upstate_Medical_University,http://www.upstate.edu/
91,State University of New York Downstate Medical Center College of Medicine,New York,Brooklyn,1858,https://en.wikipedia.org/wiki/SUNY_Downstate_Medical_Center,http://www.downstate.edu
92,"Jacobs School of Medicine and Biomedical Sciences, University at Buffalo",New York,Buffalo,1846,https://en.wikipedia.org/wiki/University_at_Buffalo_School_of_Medicine_and_Biomedical_Sciences,https://medicine.buffalo.edu/
93,University of Rochester School of Medicine and Dentistry,New York,Rochester,1925,https://en.wikipedia.org/wiki/University_of_Rochester_Medical_Center,http://urmc.rochester.edu/dentistry/education/
94,Weill Cornell Medical College,New York,Manhattan,1898,https://en.wikipedia.org/wiki/Weill_Cornell_Medical_College,http://weill.cornell.edu/
95,The Brody School of Medicine at East Carolina University,North Carolina,Greenville,1977,https://en.wikipedia.org/wiki/The_Brody_School_of_Medicine_at_East_Carolina_University,http://www.ecu.edu/med/
96,Duke University School of Medicine,North Carolina,Durham,1930,https://en.wikipedia.org/wiki/Duke_University_School_of_Medicine,http://medschool.duke.edu
97,University of North Carolina School of Medicine,North Carolina,Chapel Hill,1879,https://en.wikipedia.org/wiki/University_of_North_Carolina_School_of_Medicine,http://www.med.unc.edu/
98,Wake Forest School of Medicine,North Carolina,Winston-Salem,1902,https://en.wikipedia.org/wiki/Wake_Forest_School_of_Medicine,http://school.wakehealth.edu/
99,University of North Dakota School of Medicine and Health Sciences,North Dakota,Grand Forks,1905,https://en.wikipedia.org/wiki/University_of_North_Dakota_School_of_Medicine_and_Health_Sciences,http://www.med.und.edu
100,Boonshoft School of Medicine at Wright State University,Ohio,Dayton,1973,https://en.wikipedia.org/wiki/Boonshoft_School_of_Medicine,http://www.med.wright.edu
101,Case Western Reserve University School of Medicine,Ohio,Cleveland,1843,https://en.wikipedia.org/wiki/Case_Western_Reserve_University_School_of_Medicine,https://case.edu/medicine/
102,Cleveland Clinic Lerner College of Medicine,Ohio,Cleveland,2002,https://en.wikipedia.org/wiki/Cleveland_Clinic_Lerner_College_of_Medicine,https://case.edu/medicine/
103,Northeast Ohio Medical University College of Medicine,Ohio,Rootstown,1973,https://en.wikipedia.org/wiki/Northeast_Ohio_Medical_University,http://neomed.edu/
104,The Ohio State University College of Medicine,Ohio,Columbus,1914,https://en.wikipedia.org/wiki/The_Ohio_State_University_College_of_Medicine,http://medicine.osu.edu/
105,University of Cincinnati College of Medicine,Ohio,Cincinnati,1819,https://en.wikipedia.org/wiki/University_of_Cincinnati_Academic_Health_Center,http://health.uc.edu/
106,University of Toledo College of Medicine,Ohio,Toledo,1964,https://en.wikipedia.org/wiki/University_of_Toledo_Medical_Center,http://www.utoledo.edu/med
107,University of Oklahoma College of Medicine,Oklahoma,Oklahoma City,1900,https://en.wikipedia.org/wiki/University_of_Oklahoma_College_of_Medicine,http://www.ouhsc.edu
108,University of Oklahoma School of Community Medicine,Oklahoma,Tulsa,1974,https://en.wikipedia.org/wiki/University_of_Oklahoma_School_of_Community_Medicine,http://tulsa.ou.edu/socm
109,Oregon Health & Science University School of Medicine,Oregon,Portland,1887,https://en.wikipedia.org/wiki/Oregon_Health_%26_Science_University,http://www.ohsu.edu
110,Geisinger Commonwealth School of Medicine,Pennsylvania,Scranton,2008,https://en.wikipedia.org/wiki/Geisinger_Commonwealth_School_of_Medicine,https://www.geisinger.edu/education
111,Drexel University College of Medicine,Pennsylvania,Philadelphia,1848,https://en.wikipedia.org/wiki/Drexel_University_College_of_Medicine,http://www.drexelmed.edu/
112,Pennsylvania State University College of Medicine,Pennsylvania,Hershey,1963,https://en.wikipedia.org/wiki/Penn_State_Milton_S._Hershey_Medical_Center,http://hmc.pennstatehealth.org
113,Perelman School of Medicine at the University of Pennsylvania,Pennsylvania,Philadelphia,1765,https://en.wikipedia.org/wiki/Perelman_School_of_Medicine_at_the_University_of_Pennsylvania,http://www.med.upenn.edu/overview.shtml
114,Sidney Kimmel Medical College at Thomas Jefferson University,Pennsylvania,Philadelphia,1824,https://en.wikipedia.org/wiki/Sidney_Kimmel_Medical_College,http://www.jefferson.edu/
115,Temple University School of Medicine,Pennsylvania,"Philadelphia, Pittsburgh (begins 2013), Bethlehem (begins 2011)",1901,https://en.wikipedia.org/wiki/Temple_University_School_of_Medicine,http://www.temple.edu/medicine
116,University of Pittsburgh School of Medicine,Pennsylvania,Pittsburgh,1883,https://en.wikipedia.org/wiki/University_of_Pittsburgh_School_of_Medicine,http://www.medschool.pitt.edu/
117,Universidad Central del Caribe School of Medicine,Puerto Rico,Bayamón,1976,https://en.wikipedia.org/wiki/Central_University_of_the_Caribbean,http://uccaribe.edu
118,Ponce School of Medicine,Puerto Rico,Ponce,1977,https://en.wikipedia.org/wiki/Ponce_School_of_Medicine,http://www.psm.edu/
119,San Juan Bautista School of Medicine,Puerto Rico,Caguas,1978,https://en.wikipedia.org/wiki/San_Juan_Bautista_School_of_Medicine,http://www.sanjuanbautista.edu/
120,University of Puerto Rico School of Medicine,Puerto Rico,San Juan,1950,https://en.wikipedia.org/wiki/University_of_Puerto_Rico_School_of_Medicine,http://www.md.rcm.upr.edu
121,Alpert Medical School at Brown University,Rhode Island,Providence,1811,https://en.wikipedia.org/wiki/Alpert_Medical_School,http://med.brown.edu/
122,Medical University of South Carolina College of Medicine,South Carolina,Charleston,1823,https://en.wikipedia.org/wiki/Medical_University_of_South_Carolina,http://www.musc.edu/
123,University of South Carolina School of Medicine,South Carolina,Columbia,1977,https://en.wikipedia.org/wiki/University_of_South_Carolina,http://www.sc.edu
124,University of South Carolina School of Medicine Greenville,South Carolina,Greenville,2012,https://en.wikipedia.org/wiki/University_of_South_Carolina,http://www.sc.edu
125,Sanford School of Medicine of the University of South Dakota,South Dakota,Vermillion,1907,https://en.wikipedia.org/wiki/University_of_South_Dakota_Sanford_School_of_Medicine,http://www.usd.edu/medicine
126,East Tennessee State University James H. Quillen College of Medicine,Tennessee,Johnson City,1978,https://en.wikipedia.org/wiki/East_Tennessee_State_University_James_H._Quillen_College_of_Medicine,http://www.etsu.edu/com/
127,Meharry Medical College School of Medicine,Tennessee,Nashville,1876,https://en.wikipedia.org/wiki/Meharry_Medical_College,http://www.mmc.edu/
128,University of Tennessee College of Medicine,Tennessee,Memphis,1850,https://en.wikipedia.org/wiki/University_of_Tennessee_College_of_Medicine,http://www.uthsc.edu/medicine
129,Vanderbilt University School of Medicine,Tennessee,Nashville,1874,https://en.wikipedia.org/wiki/Vanderbilt_University_School_of_Medicine,http://medschool.vanderbilt.edu/
130,Baylor College of Medicine,Texas,"Houston, Texas",1900,https://en.wikipedia.org/wiki/Baylor_College_of_Medicine,http://www.bcm.edu/
131,Texas A&M Health Science Center College of Medicine,Texas,College Station,1977,https://en.wikipedia.org/wiki/Texas_A%26M_Health_Science_Center_College_of_Medicine,https://medicine.tamhsc.edu/
132,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,Texas,El Paso,2007,https://en.wikipedia.org/wiki/Paul_L._Foster_School_of_Medicine,http://www.ttuhsc.edu/fostersom
133,Texas Tech University Health Sciences Center School of Medicine,Texas,Lubbock,1969,https://en.wikipedia.org/wiki/Texas_Tech_University_Health_Sciences_Center_School_of_Medicine,http://www.ttuhsc.edu/medicine/
134,University of Texas Medical Branch School of Medicine,Texas,Galveston,1891,https://en.wikipedia.org/wiki/University_of_Texas_Medical_Branch,http://www.utmb.edu/president/about/
135,University of Texas Medical School at Houston,Texas,Houston,1972,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_Houston,http://www.uthouston.edu/president/index.htm
136,University of Texas School of Medicine at San Antonio,Texas,San Antonio,1959,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_San_Antonio_School_of_Medicine,http://som.uthscsa.edu/
137,University of Texas Rio Grande Valley School of Medicine,Texas,Edinburg,2013,https://en.wikipedia.org/wiki/University_of_Texas_Rio_Grande_Valley_School_of_Medicine,http://www.utrgv.edu/school-of-medicine/index.htm
138,University of Texas Southwestern Medical School at Dallas,Texas,Dallas,1943,https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_School,http://profiles.utsouthwestern.edu/profile/103382/
139,Dell Medical School at The University of Texas at Austin,Texas,Austin,2013,https://en.wikipedia.org/wiki/Dell_Medical_School_at_The_University_of_Texas_at_Austin,https://www.utexas.edu/dell-medical-school
140,University of Utah School of Medicine,Utah,Salt Lake City,1906,https://en.wikipedia.org/wiki/University_of_Utah_School_of_Medicine,http://medicine.utah.edu/
141,University of Vermont College of Medicine,Vermont,Burlington,1822,https://en.wikipedia.org/wiki/University_of_Vermont_College_of_Medicine,http://www.med.uvm.edu/
142,Eastern Virginia Medical School,Virginia,Norfolk,1973,https://en.wikipedia.org/wiki/Eastern_Virginia_Medical_School,http://www.evms.edu/
143,University of Virginia School of Medicine,Virginia,Charlottesville,1827,https://en.wikipedia.org/wiki/University_of_Virginia_School_of_Medicine,http://www.medicine.virginia.edu/
144,"VCU School of Medicine, Medical College of Virginia Health Sciences Division",Virginia,Richmond,1838,https://en.wikipedia.org/wiki/VCU_School_of_Medicine,http://www.medschool.vcu.edu
145,Virginia Tech Carilion School of Medicine and Research Institute,Virginia,Roanoke,2010,https://en.wikipedia.org/wiki/Virginia_Tech_Carilion_School_of_Medicine_and_Research_Institute,http://www.vtc.vt.edu
146,University of Washington School of Medicine,Washington,Seattle,1946,https://en.wikipedia.org/wiki/University_of_Washington_School_of_Medicine,http://uwmedicine.washington.edu
147,Washington State University Elson S. Floyd College of Medicine,Washington,Spokane,2015,https://en.wikipedia.org/wiki/Elson_S._Floyd_College_of_Medicine,http://medicine.wsu.edu
148,Joan C. Edwards School of Medicine at Marshall University,West Virginia,Huntington,1977,https://en.wikipedia.org/wiki/Joan_C._Edwards_School_of_Medicine,http://jcesom.marshall.edu/
149,West Virginia University School of Medicine,West Virginia,"Morgantown
Charleston
Martinsburg.",1902,https://en.wikipedia.org/wiki/West_Virginia_University_School_of_Medicine,http://medicine.hsc.wvu.edu
150,Medical College of Wisconsin,Wisconsin,Milwaukee,1912,https://en.wikipedia.org/wiki/Medical_College_of_Wisconsin,http://www.mcw.edu/
151,University of Wisconsin School of Medicine and Public Health,Wisconsin,Madison,1907,https://en.wikipedia.org/wiki/University_of_Wisconsin_School_of_Medicine_and_Public_Health,http://www.med.wisc.edu
